benchmark,construction_rule,existing_generation_available,forced_islanding,load_requirement_kw,name,patch_id,payload_name,pcc_available,pv_available,restoration_mode,shared_first_stage_variables,source_contingency
pglib_case14_ieee,Published nominal active load and all listed components in service.,True,False,142000.0,normal,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,True,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",none
pglib_case14_ieee,Candidate PV availability is set to its exact lower bound zero; no weather multiplier is invented.,True,False,142000.0,renewable_shortfall,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,True,False,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",candidate_pv_binary_availability_lower_bound
pglib_case14_ieee,The full published nominal patch load is treated as simultaneously non-sheddable; no load multiplier or synthetic profile is added.,True,False,142000.0,demand_surge,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,True,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",published_peak_patch_load=142000_kw
pglib_case14_ieee,Deterministic loss of the lexicographically first public patch-boundary/PCC supply indicator.,True,True,142000.0,pcc_loss,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,False,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",branch_2_2_3
pglib_case14_ieee,Published generator contingency when available; otherwise the patch's zero native generation is retained.,False,False,142000.0,local_generator_loss,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,True,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",deterministic_n_1_generator_0
pglib_case14_ieee,"All public boundary branches are unavailable, yielding a deterministic island.",True,True,142000.0,forced_islanding,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,False,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]","branch_2_2_3,branch_3_2_4,branch_6_4_5,branch_7_4_7,branch_8_4_9"
pglib_case14_ieee,The lexicographically first public N-1 boundary outage is returned to service in restoration mode.,True,False,142000.0,restoration,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,True,True,True,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",deterministic_n_1_branch_0_1_2
pglib_case14_ieee,"PCC loss, candidate-PV lower-bound availability, and published generator N-1 are combined.",False,True,142000.0,combined_high_stress,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,False,False,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]","branch_2_2_3,branch_3_2_4,branch_6_4_5,branch_7_4_7,branch_8_4_9;deterministic_n_1_generator_0"
pglib_case14_ieee,Published nominal active load and all listed components in service.,True,False,77300.0,normal,pglib_case14_ieee__patch_02__4-9,pglib_case14_ieee__pglib_case14_ieee__patch_02__4-9.json,True,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",none
pglib_case14_ieee,Candidate PV availability is set to its exact lower bound zero; no weather multiplier is invented.,True,False,77300.0,renewable_shortfall,pglib_case14_ieee__patch_02__4-9,pglib_case14_ieee__pglib_case14_ieee__patch_02__4-9.json,True,False,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",candidate_pv_binary_availability_lower_bound
