budget,budget_derivation,budget_id,budget_utilization,consensus_algorithm,critical_ens,critical_infrastructure_outage_hours,critical_load_served_fraction,feasibility,maximum_customers_unserved_per_hour,method,method_solution_source,patch_count,physical_asset_deduplication,preference_source,projection,qci_sample_index,qci_sample_pool_size,qci_sample_selection_rule,runtime,system_trace_id,total_ens,total_upgrade_cost,trace_path,training_scenario_count,marginal_ens_reduction_per_dollar,pareto_frontier,frontier_objective,resilience_metric,method_hypervolume,hypervolume_reference_cost,hypervolume_reference_resilience,heldout_count,heldout_critical_ens,heldout_critical_infrastructure_outage_hours,heldout_critical_load_served_fraction,heldout_maximum_customers_unserved_per_hour,heldout_total_ens,heldout_trace_id
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,135.0,3.0,0.927027027027027,True,0.1762177650429799,CMPO-local polynomial search,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12.0,True,existing reconstructed portfolio baseline_repeat_000: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,1.4193980409763751,system-a254793fb4c2dced3238,615.0,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__CMPO-local_polynomial_search.json,8.0,,True,in_sample_total_ens,total_ens,5558284054.934,5658197.071729071,2085.644841459375,,,,,,,
4532906.712497371,Observed IEEE123 SLSQP selected cost; it equals the deduplicated full dispatchable+PV catalog portfolio.,slsqp_selected_cost,0.9999999999999998,existing overlap_consensus.run_method_consensus,224.6222965338239,5.75,0.8785825424141492,True,0.3646131805157593,CMPO-local polynomial search,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12.0,True,existing reconstructed portfolio baseline_repeat_000: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,1.4999769998248669,system-a67376fd09ade6591852,414.62229653382394,4532906.71249737,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/slsqp_selected_cost__CMPO-local_polynomial_search.json,8.0,0.00013964302570223323,True,in_sample_total_ens,total_ens,5558284054.934,5658197.071729071,2085.644841459375,,,,,,,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,50.62500877953275,4.125,0.9726351303894418,True,0.1762177717513143,IPOPT/Pyomo nonlinear,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12.0,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.8306062079500407,system-f03a3a88304cd1d3e9fc,297.7082118840262,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__IPOPT_Pyomo_nonlinear.json,8.0,,True,in_sample_total_ens,total_ens,6483354045.105861,5658197.071729071,2085.644841459375,,,,,,,
2114027.8922130284,Minimum feasible islanding portfolio plus the least-cost full PV option in the discrete catalog.,low_cost_catalog_step,1.0,existing overlap_consensus.run_method_consensus,50.62503138313974,4.125,0.9726351181712758,True,0.1762177893631807,IPOPT/Pyomo nonlinear,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12.0,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.4488383750431239,system-567a74457577364a30a8,297.70801762842046,2114027.8922130284,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/low_cost_catalog_step__IPOPT_Pyomo_nonlinear.json,8.0,2.3690894809155734e-09,True,in_sample_total_ens,total_ens,6483354045.105861,5658197.071729071,2085.644841459375,,,,,,,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,1596.3284204375,29.625,0.1371197727364864,True,0.6294185065902579,QCi SC-CMPO,/Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/qci_repeat_system_metrics.csv,12.0,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",20.0,30.0,"among the 30 preserved system-aligned QCi samples that fit the hard budget: lexicographic full-system feasibility, critical ENS, critical-infrastructure outage hours, maximum customers unserved, critical-load served, risk-adjusted cost, runtime, sample index",0.2148695420473814,system-2241e17862ae89bbf4f6,1986.3284204375,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/qci/minimum_feasible_islanding__QCi_SC-CMPO.json,8.0,,True,in_sample_total_ens,total_ens,1301621214.3623364,5658197.071729071,2085.644841459375,,,,,,,
4532906.712497371,Observed IEEE123 SLSQP selected cost; it equals the deduplicated full dispatchable+PV catalog portfolio.,slsqp_selected_cost,0.9999999999999998,existing overlap_consensus.run_method_consensus,956.2810814947916,20.375,0.4830913073001127,True,0.4773750858882521,QCi SC-CMPO,/Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/qci_repeat_system_metrics.csv,12.0,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",22.0,30.0,"among the 30 preserved system-aligned QCi samples that fit the hard budget: lexicographic full-system feasibility, critical ENS, critical-infrastructure outage hours, maximum customers unserved, critical-load served, risk-adjusted cost, runtime, sample index",0.2093822080641985,system-c4edc8d13cffac26b301,1278.7810814947916,4532906.71249737,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/qci/slsqp_selected_cost__QCi_SC-CMPO.json,8.0,0.0004930890489729641,True,in_sample_total_ens,total_ens,1301621214.3623364,5658197.071729071,2085.644841459375,,,,,,,
5149457.112497372,SLSQP portfolio plus cumulative cheapest full BESS options nearest the midpoint between the observed SLSQP and QCi costs.,post_slsqp_catalog_step,1.0,existing overlap_consensus.run_method_consensus,742.2121758177083,18.75,0.5988042292877251,True,0.4272390762893983,QCi SC-CMPO,/Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/qci_repeat_system_metrics.csv,12.0,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",23.0,30.0,"among the 30 preserved system-aligned QCi samples that fit the hard budget: lexicographic full-system feasibility, critical ENS, critical-infrastructure outage hours, maximum customers unserved, critical-load served, risk-adjusted cost, runtime, sample index",0.2150194160640239,system-c456f055eef35d3c2be0,1004.7121758177082,5149457.112497372,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/qci/post_slsqp_catalog_step__QCi_SC-CMPO.json,8.0,0.0004445198732773237,True,in_sample_total_ens,total_ens,1301621214.3623364,5658197.071729071,2085.644841459375,,,,,,,
5602175.318543635,Observed challenge-selected IEEE123 QCi SC-CMPO portfolio cost; the discrete field records the largest derived catalog prefix used to audit feasibility beneath this cap.,qci_selected_cost,1.0,existing overlap_consensus.run_method_consensus,577.6550358229167,15.0,0.6877540346903153,True,0.3440560350167144,QCi SC-CMPO,/Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/qci_repeat_system_metrics.csv,12.0,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",24.0,30.0,"among the 30 preserved system-aligned QCi samples that fit the hard budget: lexicographic full-system feasibility, critical ENS, critical-infrastructure outage hours, maximum customers unserved, critical-load served, risk-adjusted cost, runtime, sample index",0.2501430839765817,system-ad9abdd889a89b6fcd57,900.1550358229166,5602175.318543635,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/qci/qci_selected_cost__QCi_SC-CMPO.json,8.0,0.000230954131286045,True,in_sample_total_ens,total_ens,1301621214.3623364,5658197.071729071,2085.644841459375,,,,,,,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,135.0,3.0,0.927027027027027,True,0.1762177650429799,QUBO/quadratized search,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12.0,True,existing reconstructed portfolio baseline_repeat_000: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.3335595829412341,system-9e86fbf1cc3ea7c332fa,615.0,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__QUBO_quadratized_search.json,8.0,,True,in_sample_total_ens,total_ens,5332800957.018524,5658197.071729071,2085.644841459375,,,,,,,
2032032.0,Sum of one full ATB dispatchable-generation option at every deduplicated physical anchor; dispatchable generation is the least-cost option available in PV-shortfall islanding scenarios.,minimum_feasible_islanding,1.0,existing overlap_consensus.run_method_consensus,134.99999998384254,3.0,0.9270270270357608,True,0.1762177650429799,SLSQP,fresh matched classical solve with upgrade variables fixed to the hard-budget portfolio,12.0,True,existing challenge/headline-selected reconstructed portfolio: /Users/omtailor/QCI/results/phase3/sc_cmpo/final_public_experiment/system_level/upgrade_plan_comparison.csv,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",,,,0.2684469588566571,system-cf633eea5a75cfe2dc34,589.9999999709166,2032032.0,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/traces/classical/minimum_feasible_islanding__SLSQP.json,8.0,,True,in_sample_total_ens,total_ens,6459587197.441586,5658197.071729071,2085.644841459375,,,,,,,
